id,rooms,address,price,lat,lon,canton
73,4.5,"Geroldswil, Breitlandstrasse 3",1520,47.4246716,8.4099141,zurich
74,4.5,"Winterthur, Holzlegistrasse 8a",2890,47.5120897,8.6947254,zurich
75,3.5,"Winterthur, Katharina Sulzer Platz 8",2540,47.4970327,8.7179625,zurich
76,3.5,"8467 Truttikon, Contact agency for the address",2050,47.6352277,8.7251474,zurich
77,2.5,"Zürich, Südstrasse 3",2786,47.3552766,8.5619248,zurich
78,2.5,"Wallisellen, Im Langacker 9",1770,47.4096569,8.6067356,zurich
79,3.5,"Obfelden, Wolserstr. 30b",2260,47.2606642,8.4277765,zurich
80,2.5,"Zürich, Hohlstr. 511",2830,47.3892907,8.4934908,zurich
81,2.5,"8600 Dübendorf, Contact agency for the address",2050,47.3954184,8.6105563,zurich
82,3.5,"Zürich, Staffelstrasse 3",3900,47.3611720,8.5221840,zurich
83,3.5,"Erlenbach ZH, Erlengutstrasse 6",3550,47.3011139,8.5933974,zurich
84,3,"Zürich, Birchstrasse 180",6900,47.4142709,8.5380645,zurich
85,3.5,"Zürich, Schaffhauserstrasse 361, 8050 Zürich",4500,47.4108914,8.5464902,zurich
86,2.5,"Zürich, Tuchmacherstrasse 34",2190,47.3402174,8.5209839,zurich
87,2,"Zürich, Sumatrastrasse 1",2520,47.3799585,8.5436502,zurich
88,4.5,"8954 Geroldswil, Contact agency for the address",5200,47.4240544,8.4112258,zurich
89,2,"Zürich, Frohburgstrasse 77",2140,47.3908017,8.5493622,zurich
90,4.5,"Wald ZH, Ulmenstr. 11",2100,47.2692425,8.9177880,zurich
91,3.5,"Männedorf, Haldenstrasse 61",2300,47.2565172,8.7014025,zurich
92,2.5,"8032 Zürich, Contact agency for the address",3050,47.3697578,8.5750497,zurich
93,3.5,"Zürich, Röntgenstrasse 6",3120,47.3822610,8.5287938,zurich
94,4.5,"Au ZH, Alte Landstrasse 139",4420,47.2482308,8.6306745,zurich
95,4.5,"Gossau ZH, Unterhofen 3",1650,47.3052816,8.7537077,zurich
96,3.5,"Winterthur, Sulzeral. 65",2610,47.5025400,8.7638870,zurich
97,4.5,"Dübendorf, Höglerstr. 36",3229,47.3979860,8.6213096,zurich
98,2.5,"Dübendorf, Sonnentalstrasse 13, 8600 Dübendorf, Switzerland",3200,47.3967149,8.6021086,zurich
99,4.5,"8700 Küsnacht ZH, Contact agency for the address",5100,47.3161585,8.5801037,zurich
100,N/A,"Zürich, Hardstrasse 236/238",3439,47.3874151,8.5196931,zurich
101,2.5,"Winterthur, Im Grüntal 25",1820,47.4824366,8.7704852,zurich
102,2.5,"Urdorf, Birmensdorferstr. 81",1820,47.3854089,8.4226114,zurich
103,4.5,"Zürich, Hagenholzstr. 55",5570,47.4147030,8.5548017,zurich
104,4.5,"Zürich, Käferholzstr. 46",3800,47.4008454,8.5371062,zurich
105,3.5,"Zürich, Seefeldstrasse 28",5963,47.3635619,8.5491321,zurich
106,4.5,"Wädenswil, Neudorfstrasse 42",1738,47.2342128,8.6629059,zurich
107,3.5,"Schlieren, Goldschlägiplatz 1",2020,47.4003038,8.4411463,zurich
108,3.5,"Glattbrugg, Schaffhauserstrasse 91",2271,47.4322836,8.5634971,zurich
109,2.5,"Zürich, Hohlstrasse 104",3200,47.3792042,8.5227595,zurich
110,4,"Zürich, Schürgistr. 66",2470,47.4005186,8.5735564,zurich
111,3.5,"8304 Wallisellen, Contact agency for the address",3840,47.4218951,8.5858569,zurich
112,3.5,"Herrliberg, Gartenstrasse 16",2470,47.2872109,8.6121652,zurich
113,3.5,"Bonstetten, Im Heumoos 25",2090,47.3240853,8.4691391,zurich
114,4.5,"8636 Wald ZH, Contact agency for the address",2550,47.2804908,8.9306305,zurich
115,4.5,"Bülach, Gussstr. 44",2420,47.5250304,8.5375322,zurich
116,3,"Zürich, Nordstrasse 96",2460,47.3890142,8.5356738,zurich
117,4,"Uster, Burgstr. 61",1440,47.3422222,8.7246861,zurich
118,4.5,"Wetzikon ZH, Tösstalstr. 118",2727,47.3289059,8.8228971,zurich
119,3.5,"8187 Weiach, Contact agency for the address",1970,47.5555610,8.4378732,zurich
120,3.5,"8954 Geroldswil, Contact agency for the address",3450,47.4239902,8.4120803,zurich
121,3,"Zürich, Rieterstrasse 67",3500,47.3559367,8.5263104,zurich
122,3,"Zürich, Baslerstrasse 77",3800,47.3861707,8.4966497,zurich
123,4.5,"8047 Zürich, Contact agency for the address",4000,47.3716338,8.4986738,zurich
124,2.5,"Männedorf, Im Wiesli 6",1700,47.2514956,8.6999494,zurich
125,4.5,"8907 Wettswil, Contact agency for the address",3130,47.3409595,8.4758117,zurich
126,3.5,"8050 Zürich, Contact agency for the address",3250,47.4084411,8.5601584,zurich
127,3.5,"8955 Oetwil an der Limmat, Contact agency for the address",2600,47.4280492,8.3960466,zurich
128,3.5,"Höri, Sonnenbühlstrasse 2",2400,47.5072627,8.5095912,zurich
129,2,"Uster, Stöcklerstr. 10",1450,47.3423203,8.7354154,zurich
130,4.5,"Adliswil, Grundstrasse 13",1770,47.3118048,8.5290741,zurich
131,1,"Zürich, Anemonenstrasse 7",1380,47.3804626,8.4958210,zurich
132,4.5,"8308 Illnau, Contact agency for the address",2350,47.4091265,8.7235880,zurich
133,3,"Zürich, Baslerstrasse 73",2911,47.3859078,8.4968935,zurich
134,2.5,"Au ZH, Alte Landstrasse 149",2960,47.2486588,8.6298943,zurich
135,2.5,"Zürich, Hügelstr. 8",2785,47.3576599,8.5251442,zurich
136,3.5,"8142 Uitikon Waldegg, Contact agency for the address",3400,47.3618426,8.4560577,zurich
137,4.5,"Wallisellen, Engenbüelstr. 6",2110,47.4218858,8.5970795,zurich
138,1.5,"Horgen, Fabrikgasse 8",2150,47.2493102,8.6003269,zurich
139,1,"Zürich, Josefstr. 129",1650,47.3840315,8.5285902,zurich
140,3.5,"Wädenswil, Holzmoosrütisteig 2b",2608,47.2347687,8.6517169,zurich
141,1.5,"Zürich, Schärenmoosstr. 80",2260,47.4232777,8.5423145,zurich
142,2,"Zürich, Bombachsteig 11",1700,47.4037706,8.4891750,zurich
143,2,"Wetzikon ZH, Guldislooweg 17",1290,47.3221081,8.7924417,zurich
144,3.5,"Zürich, Haldenstrasse 167",4010,47.3702802,8.5113336,zurich
145,4.5,"8934 Knonau, Contact agency for the address",2890,47.2203112,8.4589792,zurich
146,2,"Zürich, Kronenstr. 25",2750,47.3874098,8.5371888,zurich
147,2.5,"Zürich, Kornhausstrasse 11",2380,47.3874744,8.5352086,zurich
148,3,"Dielsdorf, Altmoosstrasse 21",1550,47.4764199,8.4539244,zurich
149,3.5,"Dübendorf, Ringstr. 26",2170,47.3967201,8.6037731,zurich
150,3,"Zürich, Buchzelgstrasse 62",1980,47.3592792,8.5886178,zurich
151,4.5,"Winterthur, Sulzerallee 57",2530,47.5032527,8.7625988,zurich
152,3.5,"Wald ZH, Ulmenstr. 13",1750,47.2692157,8.9181505,zurich
153,3,"Rüti ZH, Eichwiesstr. 48",1670,47.2503412,8.8426934,zurich
154,2,"Richterswil, Sennhüttenstr. 2",1700,47.2084909,8.6891180,zurich
155,1,"Horgen, Wagnerweg 6",1470,47.2581334,8.6010139,zurich
156,4,"8706 Meilen, Contact agency for the address",2900,47.2690626,8.6507091,zurich
157,3,"Zürich, Dennlerstrasse 11",2330,47.3819676,8.4989586,zurich
158,2,"Dietikon, Überlandstr. 26",1990,47.4089040,8.4040740,zurich
159,3,"Zürich, Albisriederstrasse 22",2700,47.3781233,8.5080629,zurich
160,3.5,"8192 Zweidlen, Contact agency for the address",2000,47.5628161,8.4692626,zurich
161,3.5,"8304 Wallisellen, Contact agency for the address",3840,47.4153514,8.5892359,zurich
162,3.5,"Zürich, Schwandenholzstrasse 230",1950,47.4240763,8.5215657,zurich
163,3,"8032 Zürich, Contact agency for the address",3400,47.3693416,8.5661210,zurich
164,2.5,"Zürich, Stampfenbachstr. 67",2390,47.3813912,8.5418504,zurich
165,2,"Zürich, Altstetterstrasse 178",2260,47.3856866,8.4851832,zurich
166,3,"8610 Uster, Contact agency for the address",2095,47.3495477,8.7162237,zurich
167,3.5,"Oberengstringen, Neugutstrasse 20",2150,47.4078850,8.4571850,zurich
168,2.5,"Horgen, Fabrikgasse 11",2100,47.2590042,8.5881658,zurich
169,5,"Adliswil, Schwarzenbergstr. 1",3400,47.3088997,8.5194103,zurich
170,3.5,"Adliswil, Säntisstrasse 21",2350,47.3089772,8.5225046,zurich
171,3.5,"8052 Zürich, Contact agency for the address",3940,47.4218997,8.5508838,zurich
172,3.5,"Zürich, Winterthurerstrasse 308",2420,47.4030591,8.5558669,zurich
173,4,"8630 Rüti ZH, Contact agency for the address",2790,47.2626984,8.8653940,zurich
174,4,"Zürich, Im Brächli 37",1740,47.3604409,8.5813228,zurich
175,3.5,"Zürich, Pflugstr. 20",3260,47.3905268,8.5387137,zurich
176,2,"Zürich, Bellariastrasse 36",4770,47.3524224,8.5302450,zurich
177,2,"Zürich, Renggerstrasse 86",2370,47.3434450,8.5337180,zurich
178,5.5,"8820 Wädenswil, Contact agency for the address",5700,47.2294923,8.6718448,zurich
179,5.5,"8907 Wettswil, Contact agency for the address",5000,47.3361739,8.4791602,zurich
180,6,"Zürich, Asylstr. 31",6500,47.3687518,8.5587189,zurich
181,4.5,"Wädenswil, Obere Leihofstr. 13",2790,47.2235337,8.6669379,zurich
182,1.5,"Adliswil, Im Sihlhof 2",1830,47.3214323,8.5223845,zurich
183,2.5,"Winterthur, Weizackerstr. 25",1350,47.4787868,8.7675689,zurich
184,3.5,"8049 Zürich, Contact agency for the address",3200,47.4036449,8.5014550,zurich
185,1.5,"Zürich, Hallwylstr. 73",1900,47.3700716,8.5273369,zurich
186,3,"Zürich, Rieterstrasse 67",3500,47.3559131,8.5263536,zurich
187,3.5,"Volketswil, In der Höh 5",2434,47.3845851,8.6692173,zurich
188,N/A,"Zürich, Albertstrasse 7",2660,47.3861649,8.5260282,zurich
189,2.5,"Erlenbach ZH, Erlengutstrasse 6",2910,47.3011139,8.5933974,zurich
190,3.5,"8134 Adliswil, Contact agency for the address",2150,47.3131620,8.5231035,zurich
191,3.5,"Richterswil, Bodenstrasse 21",1700,47.2078156,8.6952864,zurich
192,4,"Zürich, Im Brächli 58/60",1880,47.3597892,8.5819427,zurich
193,1.5,"Zürich, Rudolfstr. 8",1950,47.3570341,8.5576778,zurich
194,3.5,"Langnau am Albis, Breitwiesstr. 62",1800,47.2915713,8.5391979,zurich
195,2.5,"Zürich, Regensdorferstr. 67",2730,47.4058656,8.4914849,zurich
196,4.5,"8180 Bülach, Contact agency for the address",3200,47.5155388,8.5353044,zurich
197,3.5,"Horgen, Neugasse 17",2540,47.2575870,8.5890131,zurich
198,3.5,"Winterthur, Seuzacherstr. 13b",2310,47.5191931,8.7198518,zurich
199,5,"8048 Zürich, Contact agency for the address",4200,47.3869261,8.4777146,zurich
200,3.5,"Winterthur, Römerstr. 156",1610,47.5065585,8.7543541,zurich
201,3.5,"8954 Geroldswil, Contact agency for the address",3850,47.4237373,8.4117038,zurich
202,3,"Zürich, Josefstr. 129",3050,47.3840327,8.5285865,zurich
203,2,"Zürich, Winterthurerstr. 616",1950,47.4051136,8.5783926,zurich
204,2.5,"Wallisellen, Bützackerstr. 4",1705,47.4222639,8.6025060,zurich
205,3.5,"Wetzikon ZH, Buchgrindelstrasse 1",1510,47.3291745,8.7904277,zurich
206,5,"Zollikon, Im Walder 28",3400,47.3465402,8.5745743,zurich
