id,rooms,address,price,lat,lon,canton
"70,3,""3780 Gstaad, Contact agency for the address"",N/A,46.4683760,7.2928107,berne"
"71,2.5,""Tramelan, Rue de la Gare 28"",1090,47.2232133,7.1046323,berne"
"72,4,""Moutier, Avenue de la Gare 10"",780,47.2804621,7.3797758,berne"
"73,4.5,""Wichtrach, Austr. 7"",2125,46.8364047,7.5655998,berne"
"74,2.5,""Biel-Bienne, Murtenstrasse 55"",1050,47.1330605,7.2466615,berne"
"75,4.5,""Bern, Effingerstrasse 41d"",3660,46.9454317,7.4308911,berne"
"76,4.5,""Langnau im Emmental, Zürchermatte BE 153'040 11"",1750,46.9438592,7.7740102,berne"
"77,3.5,""Jegenstorf, Quartierweg 10 A"",1193,47.0524583,7.5092538,berne"
"78,4.5,""Reconvilier, Chaudrette 15"",690,47.2369383,7.2199416,berne"
"79,4.5,""Reconvilier, Rue du 16 Mars 20"",1350,47.2318147,7.2186888,berne"
"80,4.5,""Hindelbank, Wylerweg 7"",1578,47.0403867,7.5405002,berne"
"81,2.5,""Thun, Bälliz 54"",1630,46.7575888,7.6280652,berne"
"82,3.5,""Bremgarten b. Bern, Rüttiweg 46"",1605,46.9728419,7.4352415,berne"
"83,4.5,""3271 Radelfingen b. Aarberg, Contact agency for the address"",1650,47.0180433,7.2665420,berne"
"84,4,""3123 Belp, Contact agency for the address"",1400,46.8908887,7.5043008,berne"
"85,4.5,""Moutier, Champs-Forts 7"",1325,47.2728118,7.3586255,berne"
"86,3.5,""Burgdorf, Tiergarten 39"",1665,47.0619561,7.6155849,berne"
"87,4,""Jegenstorf, Staffelstr. 5a"",1450,47.0530927,7.5095428,berne"
"88,3.5,""Biel-Bienne, Südstrasse 36"",1025,47.1423500,7.2738400,berne"
"89,3.5,""2543 Lengnau BE, Contact agency for the address"",950,47.1765892,7.3624141,berne"
"90,6,""3780 Gstaad, Contact agency for the address"",N/A,46.4735900,7.2873524,berne"
"91,2.5,""Bern, Könizstrasse 43"",1290,46.9417267,7.4202883,berne"
"92,4.5,""Lyssach, Dorfstrasse 3a"",1750,47.0662860,7.5867029,berne"
"93,4,""St-Imier, Rue de Tivoli 36"",850,47.1551098,7.0091611,berne"
"94,4,""Moutier, Rue de la Liberté - 18 12-18"",1300,47.2779503,7.3669810,berne"
"95,N/A,""3792 Saanen, Contact agency for the address"",N/A,46.4849532,7.2646822,berne"
"96,5.5,""St-Imier, Rue Pierre-Jolissaint 38"",1490,47.1520294,6.9948033,berne"
"97,5.5,""3652 Hilterfingen, Contact agency for the address"",2350,46.7401978,7.6681296,berne"
"98,4,""St-Imier, Rue Baptiste-Savoye 59"",790,47.1516851,6.9944229,berne"
"99,4,""Biel-Bienne, Bözingenstrasse 26 B"",1440,47.1474541,7.2494954,berne"
"100,3,""Bern, Helvetiastrasse 29"",2590,46.9407001,7.4511435,berne"
"101,4.5,""St-Imier, Mont-Soleil 20"",1060,47.1569106,6.9983805,berne"
"102,2.5,""Köniz, Sägestr. 76"",1940,46.9239102,7.4125277,berne"
"103,2.5,""Biel-Bienne, Bözingenstrasse 26 C"",1020,47.1480294,7.2489833,berne"
"104,3,""Langnau im Emmental, Napfstr. 6"",950,46.9409150,7.7921649,berne"
"105,2.5,""3412 Heimiswil, Contact agency for the address"",1550,47.0548259,7.6604587,berne"
"106,4.5,""2615 Sonvilier, Contact agency for the address"",1290,47.1413414,6.9637960,berne"
"107,3.5,""Köniz, Landorfstrasse 44"",1720,46.9219068,7.4106626,berne"
"108,2.5,""St-Imier, Rue de la Clef 43"",1092,47.1495509,6.9932889,berne"
"109,4.5,""Ittigen, Grauholzstr. 72"",1900,46.9855448,7.4805761,berne"
"110,3.5,""Lyss, Bernstr. 29"",1415,47.0687370,7.3138738,berne"
"111,N/A,""3785 Gsteig b. Gstaad, Contact agency for the address"",N/A,46.3886796,7.2736772,berne"
"112,4.5,""Gasel, Wichelackerstrasse 35"",1430,46.9037074,7.4019802,berne"
