id,rooms,address,price,lat,lon,canton
"303,4.5,""Tramelan, Rue du Champ-Fleuri 22"",980,47.2227621,7.0883168,berne"
"304,2.5,""3472 Wynigen, Contact agency for the address"",1390,47.1092652,7.6683749,berne"
"305,5.5,""Hindelbank, Wylerweg 1"",1781,47.0404689,7.5400021,berne"
"306,3,""Bern, Winkelriedstrasse 7"",1950,46.9648792,7.4637964,berne"
"307,5.5,""Tavannes, Rue du Chalet 8"",2100,47.2262145,7.2016243,berne"
"308,4,""Moutier, Rue de la Liberté - 18 12-18"",1320,47.2746156,7.3685046,berne"
"309,4.5,""Tavannes, Grand-Rue 26"",930,47.2209512,7.2016906,berne"
"310,N/A,""Moutier, Centrale 28"",750,47.2750976,7.3681576,berne"
"311,3.5,""Münsingen, Schlossmatte 4"",1640,46.8744487,7.5546988,berne"
"312,3,""Corgémont, Grand-Rue 1"",760,47.1955129,7.1495586,berne"
"313,2.5,""Nidau, Lyssstr. 1"",1250,47.1266894,7.2448417,berne"
"314,1,""St-Imier, Rue Baptiste-Savoye 25"",315,47.1501789,6.9919972,berne"
"315,6,""3780 Gstaad, Contact agency for the address"",N/A,46.4737408,7.2869426,berne"
"316,4.5,""Reconvilier, Rue du 16 Mars 10"",990,47.2309922,7.2164325,berne"
"317,4,""Moutier, Rue du Midi 1"",940,47.2772681,7.3730234,berne"
"318,4.5,""Belp, Hühnerhubelstrasse 11"",1516,46.8999685,7.4983685,berne"
"319,2.5,""Moosseedorf, Sandstrasse 118"",1500,47.0123190,7.4902258,berne"
"320,2.5,""Bremgarten b. Bern, Freudenreichstrasse 33"",1670,46.9731738,7.4343857,berne"
"321,2.5,""Tramelan, Rue de la Gare 28"",1050,47.2232133,7.1046323,berne"
"322,4.5,""Boll, Unterer Strassackerweg 3"",1800,46.9533235,7.5399687,berne"
"323,1.5,""Müntschemier, Rebenweg 27"",660,46.9947458,7.1353729,berne"
"324,5.5,""Tavannes, Grand-Rue 19"",1260,47.2209032,7.2007969,berne"
"325,4.5,""3552 Bärau, Contact agency for the address"",1850,46.9354279,7.8100385,berne"
"326,5.5,""Moutier, Sur Menué 19"",920,47.2697993,7.3610597,berne"
"327,4.5,""Lyssach, Dorfstrasse 3b"",1660,47.0666878,7.5931861,berne"
"328,3.5,""Moutier, Champs-Forts 7"",960,47.2728118,7.3586255,berne"
"329,2,""Biel-Bienne, Radiusweg 3/5"",1005,47.1363878,7.2569863,berne"
"330,3.5,""3012 Bern, Contact agency for the address"",1950,46.9560310,7.4192284,berne"
"331,3,""Bern, Scheuermattweg 12"",1570,46.9384574,7.4370476,berne"
"332,1.5,""3110 Münsingen, Contact agency for the address"",1800,46.8752879,7.5568622,berne"
"333,5.5,""St-Imier, Rue Basse 12"",1350,47.1522988,6.9982163,berne"
"334,4,""3780 Gstaad, Contact agency for the address"",N/A,46.4723891,7.2906457,berne"
"335,4,""3785 Gsteig b. Gstaad, Contact agency for the address"",N/A,46.3906803,7.2710156,berne"
"336,4.5,""Urtenen-Schönbühl, Gmeinmatt 1b"",1830,47.0206113,7.4935852,berne"
"337,3,""Tramelan, Rue de la Printanière"",730,47.2280297,7.1079099,berne"
"338,3,""Biel-Bienne, Zentralstrasse 55"",850,47.1433635,7.2409891,berne"
"339,2.5,""Köniz, Sägestr. 78"",1380,46.9235091,7.4127323,berne"
"340,4.5,""Büren an der Aare, Bielstrasse 14B"",1100,47.1409929,7.3648177,berne"
"341,4.5,""Biel-Bienne, Pianostrasse 65"",1460,47.1346444,7.2568887,berne"
"342,4.5,""Langnau im Emmental, Zürchermatte BE 159'238 2"",1725,46.9438592,7.7740102,berne"
"343,3.5,""Huttwil, Bahnhofstr. 43"",1350,47.1138876,7.8421318,berne"
"344,4.5,""Biel-Bienne, Westerholz 4"",1520,47.1501795,7.2720086,berne"
"345,5,""Tramelan, Rue des Deutes 7B"",1500,47.2267143,7.1070217,berne"
"346,4.5,""Nidau, Lyssstr. 1"",1790,47.1266946,7.2448337,berne"
"347,3.5,""Urtenen-Schönbühl, Feldeggstr. 65"",1550,47.0189661,7.5118525,berne"
"348,4.5,""St-Imier, Rue Baptiste-Savoye 23"",840,47.1501783,6.9918389,berne"
"349,3.5,""Biel-Bienne, Waldrainstrasse 8"",1490,47.1356417,7.2583797,berne"
"350,4.5,""Münsingen, Schlossmatte 10"",1720,46.8745537,7.5535489,berne"
"351,4,""Zollikofen, Alpenstrasse 127"",1675,46.9979114,7.4413400,berne"
"352,3.5,""Moutier, Rue du Château 4"",700,47.2805287,7.3765851,berne"
"353,3.5,""Oberbipp, Beundenstr. 12"",1730,47.2583761,7.6652370,berne"
"354,5.5,""3066 Stettlen, Contact agency for the address"",N/A,46.9603190,7.5308059,berne"
"355,4,""Oberwil b. Büren, Schnottwilstrasse 4/6"",1350,47.1260138,7.4045076,berne"
"356,1.5,""3036 Detligen, Contact agency for the address"",1200,47.0015536,7.2770502,berne"
"357,2.5,""Moutier, Ch. des Sources 2"",850,47.2725666,7.3739103,berne"
"358,N/A,""3780 Gstaad, Contact agency for the address"",N/A,46.4716427,7.2852818,berne"
"359,2.5,""Münsingen, Belpbergstr. 32g"",1105,46.8692080,7.5533255,berne"
"360,2.5,""4900 Langenthal, Contact agency for the address"",1300,47.2116167,7.7855494,berne"
"361,4.5,""3127 Mühlethurnen, Contact agency for the address"",2500,46.8138955,7.5063739,berne"
"362,2.5,""3619 Eriz, Contact agency for the address"",1500,46.7820523,7.8106412,berne"
"363,3.5,""Tramelan, Rue de la Gare 28"",2290,47.2232133,7.1046323,berne"
"364,4.5,""Tramelan, Chemin des Lovières 1"",1450,47.2225700,7.1058144,berne"
"365,3.5,""Hindelbank, Bernstrasse 5"",1500,47.0408008,7.5398399,berne"
"366,5.5,""Sumiswald, Haselacker 2"",1800,47.0299705,7.7533995,berne"
"367,3.5,""Boll, Rämelgässli 90/92"",1620,46.9502205,7.5543596,berne"
"368,4,""St-Imier, Rue Baptiste-Savoye 47"",890,47.1510849,6.9936600,berne"
"369,3,""Wiedlisbach, Sonnhalde 29"",1070,47.2504297,7.6495048,berne"
"370,2.5,""Köniz, Sägestr. 76"",1710,46.9239102,7.4125277,berne"
"371,4.5,""Brügg BE, Aarestr. 10"",1340,47.1224473,7.2795130,berne"
"372,4,""Corgémont, Quart-Dessus 2"",900,47.1949893,7.1467242,berne"
"373,4.5,""Langenthal, Untersteckholzstrasse 8"",1160,47.2139439,7.7956962,berne"
"374,3.5,""Sonvilier, Rue Ferdinand-Gonseth 2"",780,47.1389921,6.9652222,berne"
"375,2.5,""Köniz, Sägestr. 78"",1410,46.9235091,7.4127323,berne"
"376,4.5,""La Neuveville, Route de la Gare 8"",1670,47.0682507,7.0967348,berne"
"377,4.5,""Biel-Bienne, Mettstrasse 108a"",1160,47.1412728,7.2685545,berne"
"378,3.5,""Schliern b. Köniz, Dörfliweg 3"",1580,46.9083761,7.4154818,berne"
"379,2,""Huttwil, Wiesenstrasse 18"",560,47.1164186,7.8325409,berne"
"380,4.5,""Jegenstorf, Quartierweg 5 A"",1280,47.0524007,7.5085416,berne"
"381,4.5,""Moosseedorf, Sandstrasse 118"",2001,47.0123190,7.4902258,berne"
"382,4,""Rubigen, Hirschweid 607"",2123,46.9013307,7.5494234,berne"
"383,5.5,""Fraubrunnen, Rückimattweg 3"",1620,47.0859583,7.5257691,berne"
"384,3.5,""Münsingen, Schlossmatte 2"",1600,46.8740880,7.5547515,berne"
"385,4.5,""Biel-Bienne, Madretschstr. 108"",1330,47.1358055,7.2574968,berne"
"386,3,""St-Imier, Place du 16 Mars 8"",630,47.1529361,7.0008662,berne"
"387,3,""Biel-Bienne, Schollstrasse 19"",1030,47.1417873,7.2747300,berne"
"388,4.5,""Muri b. Bern, Kranichweg 16"",1920,46.9351145,7.4892836,berne"
"389,5.5,""Biel-Bienne, Salomegasse 12"",2150,47.1377758,7.2516708,berne"
"390,3.5,""Herrenschwanden, Aareweg 5C"",1800,46.9738558,7.4207688,berne"
"391,1.5,""Oberburg, Bahnhofstrasse 5"",1110,47.0394227,7.6278694,berne"
"392,2.5,""Biel-Bienne, Murtenstrasse 51"",1100,47.1333844,7.2467545,berne"
"393,3.5,""Burgdorf, Bernstrasse 149"",1620,47.0517463,7.6091713,berne"
"394,4.5,""Moosseedorf, Sandstrasse 104"",1982,47.0125189,7.4902719,berne"
"395,3,""3270 Aarberg, Contact agency for the address"",1395,47.0470239,7.2718753,berne"
"396,4,""Tramelan, Champ Fleuri 14"",693,47.2231423,7.0897760,berne"
"397,3.5,""Brügg BE, Neubrückstrasse 26"",810,47.1211630,7.2776141,berne"
"398,2.5,""St-Imier, Rue de la Clef 43"",1059,47.1495509,6.9932889,berne"
"399,4.5,""3438 Lauperswil, Contact agency for the address"",1450,46.9591765,7.7212637,berne"
"400,2.5,""Schliern b. Köniz, Büschiackerstrasse 37"",1048,46.9117962,7.4073395,berne"
"401,4,""Lanzenhäusern, Alte Bernstrasse 9"",1240,46.8438468,7.3483726,berne"
"402,3.5,""Oberburg, Bahnhofstrasse 5"",1480,47.0394227,7.6278694,berne"
"403,3.5,""St-Imier, Rue Agassiz 1"",1300,47.1534972,6.9973724,berne"
"404,3.5,""Biel-Bienne, Pianostrasse 65"",1280,47.1346444,7.2568887,berne"
"405,2.5,""Sonvilier, Chemin du Chêne 3"",850,47.1389386,6.9665302,berne"
"406,4.5,""Moutier, Rue de l'Hôtel-de-Ville 5"",1150,47.2794195,7.3707268,berne"
"407,2,""La Neuveville, La Neuveville - ruelle de Hotel de Ville - 3"",870,47.0636799,7.0924891,berne"
"408,4,""3780 Gstaad, Contact agency for the address"",N/A,46.4746020,7.2830679,berne"
"409,4,""Bützberg, Buchiackerweg 2"",1140,47.2150549,7.7456052,berne"
"410,3,""Tramelan, Rue du Crêt-Georges 42"",800,47.2245710,7.1106677,berne"
"411,1,""Biel-Bienne, Meisenweg 12"",310,47.1348450,7.2600100,berne"
"412,3.5,""Moutier, Rue du Château 4"",800,47.2805297,7.3766027,berne"
"413,3.5,""Belp, Neumattstr. 2"",1480,46.8956466,7.4957163,berne"
"414,3.5,""Schliern b. Köniz, Dörfliweg 3"",1540,46.9083530,7.4155057,berne"
"415,3.5,""Moutier, Mésanges 9"",760,47.2805555,7.3642722,berne"
"416,2,""4954 Wyssachen, Contact agency for the address"",740,47.0789367,7.8285733,berne"
"417,4.5,""4900 Langenthal, Contact agency for the address"",2000,47.2151755,7.7988294,berne"
"418,2.5,""Tramelan, Rue de la Gare 28"",1090,47.2232133,7.1046323,berne"
"419,4,""Roggwil BE, Nussbaumweg 3"",1345,47.2456219,7.8172792,berne"
"420,5.5,""Villeret, Rue du Brue 7"",1400,47.1563551,7.0140461,berne"
"421,5.5,""Burgdorf, Thunstr. 116"",1850,47.0469696,7.6243931,berne"
"422,4.5,""Bern, Holenackerstrasse 25"",1950,46.9495143,7.3809609,berne"
"423,4,""Tramelan, Rue de la Printanière 2"",890,47.2249054,7.1012589,berne"
"424,4.5,""Aarberg, Leimernweg 20"",1650,47.0492559,7.2827482,berne"
"425,4.5,""Lyss, Flurweg 9d"",1520,47.0686904,7.3007800,berne"
"426,3.5,""Thun, Bostudenstr. 9"",1430,46.7346166,7.6146661,berne"
"427,N/A,""Moutier, Rue du Moulin 2A"",N/A,47.2783559,7.3701768,berne"
"428,3.5,""Malleray, Rue du Lion d'or 8"",870,47.2376579,7.2695166,berne"
"429,N/A,""3780 Gstaad, Contact agency for the address"",N/A,46.4734852,7.2880081,berne"
"430,1,""St-Imier, Rue du Puits 10"",500,47.1526850,6.9998717,berne"
"431,3.5,""Thun, Neumattstr. 23"",1300,46.7474465,7.6265711,berne"
"432,4.5,""3535 Schüpbach, Contact agency for the address"",1420,46.9250095,7.7417198,berne"
"433,3.5,""Tavannes, Route de Reconvilier 27"",750,47.2280091,7.2074606,berne"
"434,3.5,""Moutier, Rue Neuve 22"",970,47.2786550,7.3678364,berne"
"435,4,""Rubigen, Hirschweid 609"",2104,46.9014117,7.5493579,berne"
"436,2.5,""Liebefeld, Schwarzenburgstr. / Geb. C 73/"",1600,46.9290872,7.4239867,berne"
"437,3.5,""Huttwil, Bahnhofstr. 43"",1250,47.1138876,7.8421318,berne"
"438,4.5,""Langnau im Emmental, Gerbestr. 9"",1200,46.9380000,7.7890094,berne"
"439,3,""3780 Gstaad, Contact agency for the address"",N/A,46.4714583,7.2837927,berne"
"440,5,""3780 Gstaad, Contact agency for the address"",N/A,46.4698289,7.2906510,berne"
"441,4.5,""Reconvilier, Rue du 16 Mars 10"",990,47.2309922,7.2164325,berne"
"442,3.5,""Tavannes, Rue du Chalet 8"",1450,47.2262145,7.2016243,berne"
"443,4,""St-Imier, Rue Dr-Schwab 8"",1100,47.1534225,7.0016728,berne"
"444,4.5,""3098 Köniz, Contact agency for the address"",3500,46.9251309,7.4175478,berne"
"445,4.5,""La Neuveville, Chemin Près-Guetins 36f"",1680,47.0665258,7.0994838,berne"
"446,5.5,""Liebefeld, Kirchstrasse 2-8 / 24-26"",3282,46.9303072,7.4288081,berne"
"447,3,""Biel-Bienne, Rue des Hirondelles 42"",1000,47.1486582,7.2628679,berne"
"448,N/A,""3780 Gstaad, Contact agency for the address"",N/A,46.4753944,7.2835313,berne"
"449,N/A,""3780 Gstaad, Contact agency for the address"",N/A,46.4672741,7.2910875,berne"
"450,3.5,""3004 Bern, Contact agency for the address"",2210,46.9753048,7.4441381,berne"
"451,3.5,""Mühlethurnen, Bahnhofstrasse 33"",1890,46.8142402,7.5120635,berne"
"452,3,""Herzogenbuchsee, Felderhofstr. 26a"",1130,47.1932981,7.7043010,berne"
"453,2.5,""3032 Hinterkappelen, Contact agency for the address"",1500,46.9691557,7.3641529,berne"
"454,2.5,""Tramelan, Rue de la Gare 28"",1100,47.2232133,7.1046323,berne"
"455,3,""Moutier, Avenue de la Gare 16"",835,47.2806219,7.3802568,berne"
"456,1,""St-Imier, Rue Baptiste-Savoye 25"",200,47.1501789,6.9919972,berne"
"457,4.5,""Langenthal, Bäreggstr. Haus E 57"",1830,47.2115847,7.7852060,berne"
"458,3.5,""Aarberg, Leimernweg 20"",1420,47.0492559,7.2827482,berne"
"459,2.5,""Villeret, Longines 7"",600,47.1559090,7.0182003,berne"
"460,1.5,""Biel-Bienne, Faubourg du Lac 75"",960,47.1389702,7.2405185,berne"
"461,3,""Biel-Bienne, Oberer Quai 112"",1155,47.1406033,7.2550867,berne"
"462,2.5,""3368 Bleienbach, Contact agency for the address"",800,47.1833525,7.7607882,berne"
"463,3.5,""Urtenen-Schönbühl, Etzmattrain 26"",1600,47.0247623,7.5028366,berne"
"464,4.5,""3054 Schüpfen, Contact agency for the address"",2517,47.0446832,7.3794010,berne"
"465,3.5,""Tramelan, Rue du Crêt-Georges 48"",785,47.2242779,7.1116660,berne"
"466,3.5,""Boll, Unterer Strassackerweg 3"",1400,46.9533144,7.5400067,berne"
"467,4.5,""Bern, Mattenhofstr. 11"",2250,46.9428429,7.4312381,berne"
"468,5.5,""3535 Schüpbach, Contact agency for the address"",1700,46.9238787,7.7416518,berne"
"469,2.5,""Liebefeld, Schwarzenburgstr. / Geb. B 73/"",1600,46.9290872,7.4239867,berne"
"470,3,""Nidau, Lyssstrasse 101"",1030,47.1243061,7.2528615,berne"
"471,3.5,""Pieterlen, Brühlweg 13"",1550,47.1720084,7.3351969,berne"
"472,3,""La Neuveville, Grand-Rue 6"",1350,47.0634210,7.0922292,berne"
"473,N/A,""3780 Gstaad, Contact agency for the address"",N/A,46.4710056,7.2777941,berne"
"474,2.5,""4900 Langenthal, Contact agency for the address"",1300,47.2089748,7.7964826,berne"
"475,4.5,""Münchenbuchsee, Mühlemattweg 9"",1630,47.0212075,7.4555068,berne"
"476,3.5,""Ostermundigen, Nobsstrasse 5"",1310,46.9590655,7.4931682,berne"
"477,2.5,""Tramelan, Rue de la Gare 28"",1100,47.2232133,7.1046323,berne"
"478,3,""Langenthal, Marktgasse 6"",1400,47.2127753,7.7894086,berne"
"479,1,""Bern, Falkenhöheweg 17"",450,46.9508125,7.4343599,berne"
"480,3.5,""Lengnau BE, Denkmalweg 50"",910,47.1796810,7.3755430,berne"
"481,3.5,""Biel-Bienne, Rue Ernst-Schüler 72"",1490,47.1547284,7.2534249,berne"
"482,3,""St-Imier, Rue Dr-Schwab 8"",1080,47.1534225,7.0016728,berne"
"483,3.5,""Moutier, Sous-Chaux 25"",750,47.2755447,7.3782963,berne"
"484,3.5,""St-Imier, Passage de la Raissette 10"",950,47.1569697,7.0083525,berne"
"485,N/A,""3792 Saanen, Contact agency for the address"",N/A,46.4914049,7.2682349,berne"
"486,3.5,""Bremgarten b. Bern, Freudenreichstrasse 31"",1790,46.9731822,7.4350133,berne"
"487,3,""Tramelan, Rue du Crêt-Georges 46"",785,47.2243394,7.1114614,berne"
"488,4.5,""Langenthal, Brauihof 24 A"",1395,47.2125463,7.7864861,berne"
"489,3.5,""Moutier, Bellevue 6"",1000,47.2803307,7.3673515,berne"
"490,3.5,""Liebefeld, Kirchstrasse 2-8 / 24-26"",2636,46.9309290,7.4289990,berne"
"491,4.5,""2533 Evilard, Contact agency for the address"",1940,47.1507378,7.2291626,berne"
"492,3.5,""3414 Oberburg, Contact agency for the address"",1450,47.0385654,7.6239555,berne"
"493,3.5,""3714 Frutigen, Contact agency for the address"",1680,46.5900407,7.6438607,berne"
"494,3.5,""Moutier, Bellevue 6"",1230,47.2803307,7.3673515,berne"
"495,4,""Langenthal, Bleichestrasse 16"",1185,47.2085952,7.7856573,berne"
"496,3.5,""Bern, Egelgasse 45"",2100,46.9452064,7.4678129,berne"
"497,4.5,""Köniz, Muhlernstrasse 65"",1400,46.9171960,7.4191119,berne"
"498,3.5,""Biel-Bienne, Faubourg du Lac 75"",2080,47.1389702,7.2405185,berne"
"499,4.5,""St-Imier, Rue Basse 12"",1140,47.1522988,6.9982163,berne"
"500,4.5,""Zollikofen, Alpenstrasse 83"",1860,46.9986872,7.4415091,berne"
"501,1,""Moutier, Rue du Moulin 15"",250,47.2778985,7.3692195,berne"
"502,2.5,""Tramelan, Rue de la Gare 28"",1140,47.2232133,7.1046323,berne"
"503,3.5,""Niederwangen b. Bern, Bodelenweg 100"",1670,46.9278954,7.3700778,berne"
"504,4.5,""Nidau, Bielstrasse 86"",1720,47.1249747,7.2525199,berne"
"505,4.5,""Münsingen, Belpbergstr. 32b"",1850,46.8691958,7.5540424,berne"
"506,2.5,""Bern, Elisabethenstr. 10"",2000,46.9592585,7.4533995,berne"
"507,3.5,""Moutier, Rue Neuve 24"",1100,47.2789565,7.3679125,berne"
"508,3,""St-Imier, Rue Baptiste-Savoye 46"",790,47.1508229,6.9937373,berne"
"509,1.5,""Ostermundigen, Forelstr. 52"",930,46.9611466,7.4862790,berne"
"510,N/A,""3780 Gstaad, Contact agency for the address"",N/A,46.4718695,7.2827979,berne"
"511,2.5,""Bern, Wylerringstrasse 11"",1320,46.9619575,7.4483023,berne"
"512,4.5,""Langenthal, Waldhofstrasse 18"",1310,47.2169229,7.7965477,berne"
"513,2.5,""Courtelary, Rue du Tilleul 5"",1060,47.1765484,7.0724451,berne"
"514,5.5,""Reconvilier, Rue du 16 Mars 12"",1090,47.2313283,7.2169847,berne"
"515,3,""Burgdorf, Bernstrasse 117"",1110,47.0529819,7.6136997,berne"
"516,3,""Moutier, Chadefontaine 5"",770,47.2733633,7.3587687,berne"
"517,1,""Huttwil, Bergstrasse 8b"",660,47.1140711,7.8580606,berne"
"518,4.5,""Biel-Bienne, fbg du lac 66"",1480,47.1396208,7.2433434,berne"
"519,3.5,""3619 Eriz, Contact agency for the address"",1800,46.7836273,7.8105845,berne"
"520,2.5,""Bern, Bundesgasse 26"",2682,46.9464759,7.4400205,berne"
"521,4.5,""Burgdorf, Tiergarten 41"",1541,47.0621360,7.6155723,berne"
"522,3.5,""Reconvilier, proche du centre"",790,47.2367997,7.2200132,berne"
"523,3.5,""Tramelan, Grand-Rue 161"",800,47.2228720,7.0983841,berne"
"524,3.5,""Kirchberg BE, Hofstattweg 3"",1910,47.0867687,7.5864162,berne"
"525,3.5,""3052 Zollikofen, Contact agency for the address"",1661,46.9932848,7.4574107,berne"
"526,3.5,""Langenthal, Bäreggstr. Haus A 53"",1650,47.2148463,7.7984728,berne"
"527,3,""Köniz, Fliederweg 6"",1680,46.9241251,7.4187851,berne"
"528,4.5,""Münchenbuchsee, Neumattstr. (Neumatt II) 13"",1460,47.0236180,7.4548890,berne"
"529,3.5,""Tramelan, Rue du Crêt-Georges 47"",900,47.2247402,7.1112419,berne"
"530,2.5,""Huttwil, Bahnhofstr. 43"",1200,47.1138876,7.8421318,berne"
"531,4.5,""Boll, Rämelgässli 76/78"",1870,46.9510286,7.5543668,berne"
"532,3.5,""Lengnau BE, Denkmalweg 38"",980,47.1797010,7.3749517,berne"
"533,2.5,""St-Imier, Rue Baptiste-Savoye 58"",750,47.1512684,6.9945856,berne"
"534,3.5,""Lyss, Flurweg 9c"",1350,47.0685645,7.3008461,berne"
"535,4.5,""Nidau, Lyssstrasse 75"",1290,47.1248869,7.2504303,berne"
"536,3.5,""Nidau, Bielstrasse 88"",1230,47.1248944,7.2526765,berne"
"537,3,""Madiswil, Untergässli 19"",1040,47.1632972,7.7961106,berne"
"538,3.5,""Tramelan, Rue de la Gare 28"",2260,47.2232133,7.1046323,berne"
"539,4.5,""Bremgarten b. Bern, Rüttiweg 7"",1690,46.9716187,7.4363718,berne"
"540,4.5,""Thun, Bostudenstrasse 8"",1592,46.7359618,7.6151223,berne"
"541,5.5,""Reconvilier, Rue du 16 Mars 18"",1350,47.2314243,7.2183188,berne"
"542,2.5,""Busswil BE, Fabrikstr. 14"",1230,47.1001186,7.3211695,berne"
"543,4.5,""Muri b. Bern, Kranichweg 16"",1880,46.9351145,7.4892836,berne"
"544,3,""Tramelan, Rue du Crêt-Georges 48"",785,47.2242779,7.1116660,berne"
"545,3,""Ostermundigen, Rütiweg 110"",1210,46.9547784,7.5084095,berne"
"546,3.5,""Biel-Bienne, Mettstrasse 108a"",1040,47.1412728,7.2685545,berne"
"547,3.5,""Biel-Bienne, Faubourg du Lac 75"",2140,47.1389702,7.2405185,berne"
"548,1.5,""Moutier, Rue des Golats 12"",390,47.2811555,7.3769311,berne"
"549,3.5,""Biel-Bienne, Waffengasse 4"",1350,47.1352776,7.2437428,berne"
"550,3.5,""Busswil BE, Fabrikstr. 10"",1550,47.1000418,7.3204839,berne"
"551,4,""3250 Lyss, Contact agency for the address"",1950,47.0769690,7.3065063,berne"
"552,4.5,""Rüfenacht BE, Dorfstrasse 9"",1370,46.9296827,7.5331350,berne"
"553,3.5,""Niederwangen b. Bern, Bodelenweg 103"",1730,46.9276748,7.3693194,berne"
"554,2.5,""La Neuveville, Rue des Mornets 59"",1050,47.0641898,7.0856931,berne"
"555,4,""Tramelan, Rue du Champ-Fleuri 20"",860,47.2228955,7.0887476,berne"
"556,3.5,""Bévilard, Rue principale 22"",780,47.2368319,7.2811539,berne"
"557,4,""Tramelan, Rue du Nord 19"",1050,47.2241830,7.0958715,berne"
"558,3,""St-Imier, Rue Sans-Souci 6"",850,47.1526199,7.0007196,berne"
"559,2.5,""Biel-Bienne, Pianostrasse 38"",800,47.1352631,7.2557609,berne"
"560,3,""Thun, Pestalozzistr. 85b"",1350,46.7503385,7.6123292,berne"
"561,3,""Biel-Bienne, Fuchsenried 24"",960,47.1541604,7.2653222,berne"
"562,2.5,""Oberburg, Bahnhofstrasse 7"",1300,47.0393924,7.6276378,berne"
"563,3.5,""Bern, Viktoriarain 14"",1760,46.9546350,7.4469910,berne"
"564,3,""Rubigen, Hirschweid 208"",2000,46.9011108,7.5483374,berne"
"565,4,""St-Imier, Rue Dr-Schwab 8"",1120,47.1534225,7.0016728,berne"
"566,3.5,""Hasle b. Burgdorf, Emmenstrasse 7a"",1064,47.0175899,7.6535149,berne"
"567,2.5,""Tramelan, Rue du Crêt-Georges 24"",880,47.2243800,7.1067481,berne"
"568,2.5,""Bern, Winkelriedstrasse 7"",1800,46.9648792,7.4637964,berne"
"569,3,""3380 Wangen an der Aare, Contact agency for the address"",1100,47.2329326,7.6555559,berne"
"570,4.5,""Moutier, Rue du Moulin 20-22"",1200,47.2780155,7.3689354,berne"
"571,4.5,""Lyss, Flurweg 9c"",1650,47.0685645,7.3008461,berne"
"572,3.5,""Biel-Bienne, Faubourg du Lac 75"",1880,47.1389702,7.2405185,berne"
"573,3,""Ostermundigen, Erikaweg 3"",1268,46.9550091,7.4830714,berne"
"574,4,""Thun, Pestalozzistr. 85b"",1460,46.7503385,7.6123292,berne"
"575,3.5,""Bern, Winkelriedstrasse 7"",2100,46.9648792,7.4637964,berne"
"576,5.5,""Sonvilier, Rue Fritz-Marchand 11"",1400,47.1380977,6.9626755,berne"
"577,2.5,""Tramelan, Rue de la Gare 28"",1150,47.2232133,7.1046323,berne"
"578,5,""Moutier, Rue Centrale 11"",880,47.2803447,7.3775397,berne"
"579,4,""Tramelan, Rue de la Gare 32"",1025,47.2231410,7.1040259,berne"
"580,4.5,""Bremgarten b. Bern, Ländlistrasse 12"",1579,46.9709000,7.4363100,berne"
"581,4.5,""Huttwil, Bahnhofstr. 43"",1545,47.1138876,7.8421318,berne"
"582,4,""Rubigen, Hirschweid 604"",2120,46.9011962,7.5495293,berne"
"583,4.5,""Huttwil, Bahnhofstr. 43"",1840,47.1138876,7.8421318,berne"
"584,3.5,""Nidau, Bielstrasse 88"",1160,47.1248944,7.2526765,berne"
"585,3.5,""Biel-Bienne, Neumarktstrasse 60"",1900,47.1292380,7.2650184,berne"
"586,5.5,""Courtelary, Grand-Rue 56"",1080,47.1780423,7.0727780,berne"
"587,4.5,""Biel-Bienne, Mettstrasse 108a"",1260,47.1412728,7.2685545,berne"
"588,9,""3780 Gstaad, Contact agency for the address"",N/A,46.4722273,7.2858131,berne"
"589,3.5,""Biel-Bienne, Faubourg du Lac 75"",2800,47.1389702,7.2405185,berne"
"590,2.5,""2516 Lamboing, Contact agency for the address"",1200,47.1178384,7.1374729,berne"
"591,2,""St-Imier, Rue Agassiz 22"",672,47.1542558,7.0004625,berne"
"592,1.5,""3110 Münsingen, Contact agency for the address"",1800,46.8754106,7.5644599,berne"
"593,3.5,""St-Imier, Rue du Vallon 24"",780,47.1509692,6.9973806,berne"
"594,3,""Biel-Bienne, Bözingenstr. 140"",1160,47.1580221,7.2772127,berne"
"595,3.5,""Muri b. Bern, Schlössliweg 3"",1950,46.9355658,7.4775441,berne"
"596,5.5,""4912 Aarwangen, Contact agency for the address"",1490,47.2373716,7.7715978,berne"
"597,3.5,""Pieterlen, Schlangernweg 25"",855,47.1735809,7.3266913,berne"
"598,3.5,""Biel-Bienne, Faubourg du Lac 75a"",1910,47.1391484,7.2403011,berne"
"599,2.5,""Schliern b. Köniz, Schaufelweg 93"",1360,46.9099830,7.4148850,berne"
"600,4,""3506 Grosshöchstetten, Contact agency for the address"",1540,46.9066618,7.6370728,berne"
"601,1,""Huttwil, Bahnhofstr. 43"",770,47.1138876,7.8421318,berne"
"602,3.5,""Nidau, Lyssstr. 5"",1550,47.1266451,7.2452504,berne"
"603,3.5,""Thun, Allmendstr. 3c"",1850,46.7595134,7.6241129,berne"
"604,2.5,""2516 Lamboing, Contact agency for the address"",1150,47.1169023,7.1351460,berne"
"605,3.5,""2514 Ligerz, Contact agency for the address"",1990,47.0887312,7.1382894,berne"
"606,3,""Tramelan, Rue du Champ-Fleuri 20"",753,47.2228955,7.0887476,berne"
"607,3.5,""Bern, Viktoriastr. (Townhouse) 21"",4055,46.9539950,7.4539211,berne"
"608,2.5,""Moutier, Chemin des Golats 12"",800,47.2811555,7.3769311,berne"
